comment,score
罗旻老师我吹爆，作业认真写，95不是问题,4.166666666666666
"作业认真一点给分就不会低
罗老师讲课很有趣",4.166666666666666
不算是论文，就是在最后一节课上手写一段对音乐大师的感想啥的，很简单，给分基本90以上,4.0
欧老师讲课时喜欢采用大量的视频，还有实际的3D打印产物及演示，作业有实践类和论文类两种，非常适合想要对于3D打印技术的实际操作有了解的同学。,4.0
这个课有点硬核，默认你会操作建模软件，和视频剪辑合成软件，给分也一般。,4.0
考試佔90%的成績哦,3.8333333333333335
"硬核，真的硬核，但很有趣
（建议至少学过C语言基础再来听）",3.8333333333333335
上课很有趣，就是有点硬核，建议有一定C语言基础的同学选,3.8333333333333335
最后考试不简单,3.8333333333333335
老师讲课很有意思，平时没有作业；最后的考试难度不低，但是给分高,3.8333333333333335
虽然比较累但是学到的知识比较硬核，而且对于学习C语言是一个很不错的铺叠,4.5
平时就是做oj，难度和量不算很小但是可以百度，有几次课堂测验，然后19年春季有三次大作业，前两次是绘图最后是一个项目。如果认真完成给分会很高的,4.5
最终好像是有个大作业；日常作业是在一个网站上做的，内容很硬核，老师助教辅导都很用心，通识课上出了置课的感觉,4.5
作业大概做对就能100分吧，给的很实，刷gpa必备,4.5
平时oj，19下半年共两次大作业，一次画图，一次用python做一个项目，然后展示。挺硬核的，上课经常会点名回答问题，所以选课的同学不要q课。作业认真做，分就有了。,4.5
课程内容比较充实，主要讲Python。每节课都有作业(和OJ差不多，对新手而言每次1-2小时吧)，19年秋季有两次大作业(第一次是用turtle库画画，第二次是学期末写100-300行代码随便做个东西并且展示)。老师给分很nice！(本人97)课堂会点两三次名所以最好别缺课。,4.5
花时间多，但是给分极好,4.5
平时oj完成作业，如果学过C再选这门课会觉得很简单，但是这门课不能水不能水不能水，哪怕去课上写作业也要去因为会点名，作业一定要写完，都做到了就是刷gpa好帮手了，随随便便都是95+,4.5
技能很实用，但是上课内容其实并不必要，因为基本只是念ppt…ppt资源在网上流传得较广，时间紧张的同学可以考虑下载课件自学而不必考虑报这门课。这门课在期中结课，考试形式为开卷，能带电脑，不能上网。对于初学者，建议使用VMware安装Ubuntu辅助学习，具体方法请百度。,3.75
课是好课，内容也很有用，但老师上课单纯在念ppt，自学能力强的同学可以自己翻书翻课件自学,3.75
还可以吧，上课比较水，都在玩手机，最后做个展示，交篇论文就行，给分85左右,3.1666666666666665
全英文PPT，看不懂。老师讲的很认真，课很水,3.1666666666666665
全英文ppt，老师英文也讲的不咋地，到后期全程漫游。presentation要求较为严格，ppt制作、展示表达、展示内容如果做不好都会被嫌弃。老师一般都有三到五分钟点评，如果做得好的话给分很高。,3.1666666666666665
还好，老师是好老师,3.1666666666666665
老师很有趣，考试是闭卷但是其实就是给一个故事像做阅读题一样的，不难的，很喜欢,4.5
挺好的，想学到东西千万别溜号，上课还是有一定难度的，这课的很多知识平常也能用的到，考试很简单，按老师的话，难度是上课10，作业3，考试1,4.5
超级喜欢段颀老师的博弈课！但是内容对文科生还是有难度的，好在老师很有趣，考试也比较容易，给分也很好,4.5
给分真的很好！！对文理工科生都很友好。交作业权当考勤。第一节课会说明课程要求，一共有四次作业，每次十分，保证会写（求助某度）。期末考试是随堂考，闭卷，阅读理解形式的，材料超长，难度不及平时作业的十分之一。老师人很有趣很宽容知识很渊博！！想学到东西的同学建议上课认真听下课勤问！！,4.5
段老师真的很有魅力，给分也还行，只不过课上内容和作业比较难，平时需要花点功夫动动脑子,4.5
课堂展示压力不大，上课老师会带我们玩游戏，在游戏中教我们有关创业的知识。,3.75
相对来说比较水，能学到关于创业的比较基础的东西。因为有小组展示所以可以拉几个同学一起报。给分挺高的，轻松90+,3.75
太爱新媒体了 新媒体出品必属精品 来自六系的评价,3.6666666666666665
是一门和智能手机没关系的课，但也是一门能学到很多东西的课～,4.75
"上课是老师讲自己的经历，但是感觉和领导力没什么关系，大家都在看手机，想学东西的还是别来了。
作业是每周写200字的感想，最后的大作业就是把自己写的几次感想编成合集交上去。给分90，还行。",3.5
作业就是填一个调查问卷，期末考是以小组为单位的展示，要是运气好能分到有趣的队友的话就非常棒了。给分极高,3.541666666666667
特别有趣的一门课，20人分成4组，以后课堂展示讨论以小组为单位，讲时间管理情绪管理这种通用能力的，上课还会用辩论的方式，趣味性很强，参与度很高，就是上课从来没写过作业，期末一个简单的10min ppt小组展示+800字这学期学过的管理方法的一个应用和感受，给分90,3.541666666666667
上的东西属于鸡汤类型的，上课不容易划水，只能听课，但是参与度高给分还可以。,3.541666666666667
主要根据课堂PPT及课后问卷调查进行考核，不会占用太多时间，课堂内容丰富，还会看一些视频，做游戏，小组活动，课堂很活跃，学习累了可以借此课放松一下，我每次都很期待上这门课。给分超多，我得了97，但基本就是按时提交问卷，课堂参与度和其他同学基本一致，期末会有小总结，阐述收获。,3.541666666666667
比较有趣。一般会分成5～8人小组，课上会做些小展示，每组要为其他组打分。平时作业就是每节课完了扫码填问卷。结课要小组做一个ppt展示，每人还要1500字论文（学到了什么以及怎么应用）。,3.541666666666667
"老师讲课很有趣
经常会让同学们互动
还放了一场电影
基本每周都有小作业，结课有一个大作业，都和写作文差不多。",2.8
这个课适合入门选修，开头第一节课就告诉大家最后两节课听听作业交交作业就行，其他时间不用来，最后就是做一个思维导图，很水很轻松,2.6
考核方式给的选项没有太具体的，考核是有课上的小考试，最后提交一个大学生涯规划表，认真做的话很容易拿高分，给分也还可以，大概算是北航必水的一门课吧??,2.6
考核就是一个课上小测一张问卷和一个mind map，好好完成的话分给的好高的,2.6
考勤不缺给分90+，课程讨论测试多，不允许课上划水做作业打游戏，因为是圆桌教室看的清清楚楚,2.6
课程比较水，考核是一篇论文，但是给分一般，本人85+,1.75
无敌水课 但是给分很低85,1.75
非常喜欢，听老师讲故事,4.583333333333333
考试简单，老师讲的也挺有趣,4.583333333333333
有程设基础的话上课会比较轻松，最后的展示只要认真做很有机会拿满分,4.25
"讲的挺有趣的，也很实用
认真听课分数肯定不会下90",4.25
崔老师特别认真负责！,4.25
很好的一般通识，讲导航发展史与现代导航技术，五级制,4.0
就考试 给分不高 闭卷考试 需要记 还有课堂展示,4.0
讲述有关电磁通信、防护等知识，比较浅显，不是很有意思，分组后每周有三组左右进行课堂展示，每人只需一次，期末交一篇电磁有关的学习成果论文即可。,3.5
两个老师都太有意思了hhhhhh,4.0
老师会讲很多关于电子系统设计和电赛的有意思的小技巧/小插曲，估计在相关领域经验丰富。想参加电赛的同学可以选这门课避坑～,3.75
这门课好像是第三周周六上午一直上到周日下午，两天上完，只上一周。交实验报告。适合电方面专业的同学，结合了电设选拔培训，想参加电设的同学可以报,3.75
讲的东西没啥意思 两周写一份感想1500+ 给分不会特别高但也还可以…建议选同类其他课,3.833333333333333
上课讲的东西很多元，都是结合现在的信息领域前沿的知识，挺有意思的，也挺长知识的,3.833333333333333
已经比网安好很多了,3.833333333333333
很好很好很好很好,4.333333333333333
动作语言分析我觉得上课很有趣，男女比很好，给分也高，是一门舞蹈课。,4.25
对于发动机了解不多的人上着会有点硬核，但是找书趁机学习能学很多相关知识。学生参与度会很高，不过不用紧张，会很开心的，上次班里一半大二一半大一的,4.5
上课水 不点名 但大作业给分低,0.5
大一的孩子选这个课就可以接触到写论文，特别实用，而且是十个人一起写，特别适合写论文入门,4.5
"上课摸鱼不要被老师抓到啦，不然会很惨
注意千万不要抄袭，更不要引用不标出处，外教对学术规范特别重视
只要做到以上的然后分给的还挺高
但是如果做不到你甚至会不及格啦…
上课如果摸鱼被抓到就赶紧认错复习，指不定下节课就疯狂提问",3.0
与数分原理有些重复，有些题目过难，作为兴趣可以听一听，考核也还比较仁慈，但跟任课老师也有关系,3.25
冯伟杰老师讲的特别好(✪▽✪),3.25
感觉...大一不建议选这课2333333,3.0
晓雯老师真的贴心????,5.0
语文是一切的基础，必须学好,5.0
晓雯老师超级好，而且上课的感觉很棒，就像刚刚学英语的时候，老师会让大家一起互动，鼓励大家说出来，课堂氛围也很好。如果真的想学法语而不是划水拿学分的，这门课真的值得。学完了法语就入门了，之后自学都没问题,5.0
强烈支持,3.0
教一些简单的乐理。大头在教管乐器的简单吹奏，可以选择单簧管、小号或萨克斯。吹奏极其有趣。有最基本乐理基础的话考试完全没有问题，吹奏过关的话完全可以冲100（虽然我没做到）。,4.5
基本不用去...最后闭卷考试会给资料，特别简单的乐理，提前背一会儿就行。平常会教管乐吹奏，很有趣,4.5
因为毕竟是通识，讲的东西都不深，主要还是讲行业的历史。最后小组展示加个课外作业(论文)，给分挺高，平常不点名,3.5
"课程内容感觉有些无聊
考评是写结课报告
最后给分倒还说得过去 约摸90",4.5
老师讲的挺好，但课堂内容比较硬核，有点难顶。作业是完成一篇探究报告，老师会发标准模板，只要你认真去查资料分不会低 。推一波,4.5
老师讲的很好，因为是新生研讨，讲的也比较浅。上课不点名。会有三次作业，第一次是自我介绍，第二次是翻译，第三次是论文。给分还可以，我拿了90,4.5
老师上课比较有趣，但有时会讲的有点深。期末是课上PPT介绍+课后自己填试卷，要求用自己的话。经常上课摸鱼，就认真完成了期末作业，最后给分90+,4.25
老师非常负责，很有个人魅力。,3.7
应该是冯如开展的通识课，2018年第一学期是第一次课，全程给老师录像，没有点名，讲的都是关于航空航天工程这些有关的，还有工程和经济有关的。最后的考核是分成小组，小组每个人都交论文或者PPT，1500字？最后选出一个最好的去最后一节课上讲PPT。我上的时候，给的分97。,4.166666666666667
老师很好，内容也挺硬核，就是课堂有点无聊,4.166666666666667
有点无聊，但是还有点东西。冯如书院的可以选这门课抵一个博雅。这是我好评的原因。,4.166666666666667
"了解航空方面的知识，内容重在科普，老师每节课都会换，与同学分享和交流自己的经历经验。最后的考核是写学到了什么以及对这门课的建议，没有字数限制。给分不错。
",4.5
超有趣的人文通识，给分也很高，老师很棒,4.833333333333334
苏丹娜老师真的超级好超级好超级好！！！！！！,4.833333333333334
每周一下午苏丹娜老师的合唱课都是一星期最开心的时光,4.833333333333334
苏老师很和善有趣，最后一节课会以音乐会的形式进行小组合唱考核，老师会在小组里面挑出唱得更好的同学标记出来，会给分更高一点。倒数第二节是乐理知识的闭卷考试，涉及到的内容基本上都是考试之前讲过的，老师的PPT也会发在课程中心里面，这部分内容对没有专业学过音乐的同学有点难。,4.833333333333334
